month,day,hour,second,boiler,solar_thermal_pump,washing_machine,dishwasher,tv,kitchen_lights,htpc,kettle,toaster,fridge,microwave,breadmaker,amp_livingroom,adsl_router,livingroom_s_lamp,kitchen_dt_lamp,bedroom_ds_lamp,lighting_circuit,livingroom_s_lamp2,iPad_charger,subwoofer_livingroom,livingroom_lamp_tv,kitchen_lamp2,kitchen_phone_stereo,utilityrm_lamp,samsung_charger,bedroom_d_lamp,coffee_machine,kitchen_radio,bedroom_chargers,gas_oven,data_logger_pc,childs_table_lamp,childs_ds_lamp,baby_monitor_tx,battery_charger,office_lamp1,office_lamp2,totalConsumption
1,6,0,2,56,0,0,0,1,0,2,1,0,84,1,0,0,6,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,2,3,14,0,0,0,0,0,0,282
1,6,0,8,57,0,0,0,1,0,2,1,0,84,1,0,0,6,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,2,3,14,0,0,0,0,0,0,278
1,6,0,14,57,0,0,0,1,0,2,1,0,83,1,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,3,3,14,0,0,0,0,0,0,281
1,6,0,20,57,0,0,0,1,0,2,1,0,83,1,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,3,3,14,0,0,0,0,0,0,280
1,6,0,26,56,0,0,0,1,0,2,1,0,83,1,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,3,3,14,0,0,0,0,0,0,280
1,6,0,32,57,0,0,0,1,0,2,1,0,83,1,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,3,3,14,0,0,0,0,0,0,280
1,6,0,38,57,0,0,0,1,0,2,1,0,84,1,0,0,6,0,0,0,0,0,0,1,0,0,5,0,0,0,1,1,3,3,14,0,0,0,0,0,0,281
1,6,0,44,56,0,0,0,1,0,2,1,0,83,1,0,0,6,0,0,0,0,0,0,1,0,0,4,0,0,0,1,1,2,3,14,0,0,0,0,0,0,281
1,6,0,51,57,0,0,0,1,0,2,1,0,83,1,0,0,6,0,0,0,0,0,0,1,0,0,5,0,0,0,1,1,2,3,14,0,0,0,0,0,0,278
1,6,0,57,57,0,0,0,1,0,2,1,0,83,1,0,0,6,0,0,0,0,0,0,1,0,0,4,0,0,0,1,1,2,3,14,0,0,0,0,0,0,284
1,6,0,3,57,0,0,0,1,0,2,1,0,83,1,0,0,6,0,0,0,0,0,0,1,0,0,5,0,0,0,1,1,3,3,14,0,0,0,0,0,0,278
1,6,0,9,57,0,0,0,1,0,2,1,0,83,1,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,3,3,14,0,0,0,0,0,0,281
1,6,0,15,58,0,0,0,1,0,2,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,3,14,0,0,0,0,0,0,281
1,6,0,21,57,0,0,0,1,0,2,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,2,3,14,0,0,0,0,0,0,214
1,6,0,28,57,0,0,0,1,0,2,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,2,3,14,0,0,0,0,0,0,214
